match_id,bowling_team,bowler,overs,maidens,runs,wickets,economy,0s,4s,6s,no_of_wides,no_of_no_balls,match
1426260,Kolkata Knight Riders,CV Varun,4.0,0,26,0,6.5,10,0,2,0,0,Kolkata Knight Riders vs Kolkata Knight Riders
1426260,Kolkata Knight Riders,MA Starc,3.0,0,29,0,9.67,7,5,0,2,0,Kolkata Knight Riders vs Kolkata Knight Riders
1426260,Kolkata Knight Riders,SP Narine,4.0,0,30,1,7.5,5,1,1,0,0,Kolkata Knight Riders vs Kolkata Knight Riders
1426260,Kolkata Knight Riders,VG Arora,4.0,0,28,2,7.0,11,3,1,0,0,Kolkata Knight Riders vs Kolkata Knight Riders
1426261,Punjab Kings,Arshdeep Singh,4.0,0,29,4,7.25,12,3,1,2,0,Punjab Kings vs Sunrisers Hyderabad
1426261,Punjab Kings,HV Patel,4.0,0,30,2,7.5,8,4,0,1,0,Punjab Kings vs Sunrisers Hyderabad
1426261,Punjab Kings,Harpreet Brar,4.0,0,48,0,12.0,6,5,3,0,0,Punjab Kings vs Sunrisers Hyderabad
1426261,Punjab Kings,K Rabada,4.0,0,32,1,8.0,12,4,1,1,0,Punjab Kings vs Sunrisers Hyderabad
1426261,Punjab Kings,SM Curran,4.0,0,41,2,10.25,9,2,3,1,0,Punjab Kings vs Sunrisers Hyderabad
1426261,Sunrisers Hyderabad,B Kumar,4.0,0,32,2,8.0,12,6,0,2,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1426261,Sunrisers Hyderabad,JD Unadkat,4.0,0,49,1,12.25,7,0,5,3,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1426261,Sunrisers Hyderabad,Nithish Kumar Reddy,3.0,0,33,1,11.0,6,3,2,1,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1426261,Sunrisers Hyderabad,PJ Cummins,4.0,0,22,1,5.5,11,3,0,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1426261,Sunrisers Hyderabad,Shahbaz Ahmed,1.0,0,10,0,10.0,1,0,1,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1426261,Sunrisers Hyderabad,T Natarajan,4.0,0,33,1,8.25,8,5,0,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1426262,Gujarat Titans,MM Sharma,4.0,0,51,1,12.75,3,4,2,4,0,Gujarat Titans vs Rajasthan Royals
1426262,Gujarat Titans,Noor Ahmad,4.0,0,43,0,10.75,6,1,3,1,0,Gujarat Titans vs Rajasthan Royals
1426262,Gujarat Titans,Rashid Khan,4.0,0,18,1,4.5,10,1,0,0,0,Gujarat Titans vs Rajasthan Royals
1426262,Gujarat Titans,SH Johnson,4.0,0,37,0,9.25,6,4,1,0,0,Gujarat Titans vs Rajasthan Royals
1426262,Gujarat Titans,UT Yadav,4.0,0,47,1,11.75,9,6,2,2,0,Gujarat Titans vs Rajasthan Royals
1426262,Rajasthan Royals,Avesh Khan,4.0,0,48,1,12.0,3,4,2,2,0,Rajasthan Royals vs Rajasthan Royals
1426262,Rajasthan Royals,KA Maharaj,2.0,0,16,0,8.0,3,0,1,0,0,Rajasthan Royals vs Rajasthan Royals
1426262,Rajasthan Royals,KR Sen,4.1,0,41,3,9.84,6,5,0,4,0,Rajasthan Royals vs Rajasthan Royals
1426262,Rajasthan Royals,R Ashwin,4.0,0,40,0,10.0,3,4,1,0,0,Rajasthan Royals vs Rajasthan Royals
1426262,Rajasthan Royals,TA Boult,2.0,0,8,0,4.0,7,1,0,0,0,Rajasthan Royals vs Rajasthan Royals
1426262,Rajasthan Royals,YS Chahal,4.0,0,43,2,10.75,3,6,0,1,0,Rajasthan Royals vs Rajasthan Royals
1426263,Mumbai Indians,Akash Madhwal,4.0,0,57,1,14.25,7,9,2,3,0,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,G Coetzee,4.0,0,42,1,10.5,13,1,5,3,0,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,HH Pandya,1.0,0,13,0,13.0,2,0,1,2,0,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,JJ Bumrah,4.0,0,21,5,5.25,12,1,1,0,0,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,Mohammad Nabi,1.0,0,7,0,7.0,2,1,0,0,0,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,R Shepherd,2.0,0,22,0,11.0,0,3,0,0,0,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Mumbai Indians,S Gopal,4.0,0,32,1,8.0,7,0,2,0,0,Mumbai Indians vs Royal Challengers Bengaluru
1426263,Royal Challengers Bengaluru,Akash Deep,3.3,0,55,1,15.71,6,2,6,2,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
